과목명,학교명,학년
공통국어1,만경고등학교,1학년
공통국어2,만경고등학교,1학년
공통수학1,만경고등학교,1학년
공통수학2,만경고등학교,1학년
공통영어1,만경고등학교,1학년
공통영어2,만경고등학교,1학년
체육1,만경고등학교,1학년
체육2,만경고등학교,1학년
정보,만경고등학교,1학년
중국어,만경고등학교,1학년
한국사1,만경고등학교,1학년
한국사2,만경고등학교,1학년
통합사회1,만경고등학교,1학년
통합사회2,만경고등학교,1학년
통합과학1,만경고등학교,1학년
통합과학2,만경고등학교,1학년
과학탐구실험1,만경고등학교,1학년
과학탐구실험2,만경고등학교,1학년
공통국어1,만경여고등학교,1학년
공통국어2,만경여고등학교,1학년
공통수학1,만경여고등학교,1학년
공통수학2,만경여고등학교,1학년
공통영어1,만경여고등학교,1학년
공통영어2,만경여고등학교,1학년
체육1,만경여고등학교,1학년
체육2,만경여고등학교,1학년
음악,만경여고등학교,1학년
미술,만경여고등학교,1학년
미술 감상과 비평,만경여고등학교,1학년
한국사1,만경여고등학교,1학년
한국사2,만경여고등학교,1학년
통합사회1,만경여고등학교,1학년
통합사회2,만경여고등학교,1학년
보건,만경여고등학교,1학년
통합과학1,만경여고등학교,1학년
통합과학2,만경여고등학교,1학년
과학탐구실험1,만경여고등학교,1학년
과학탐구실험2,만경여고등학교,1학년
공통국어1,군산중앙고등학교,1학년
공통국어2,군산중앙고등학교,1학년
공통수학1,군산중앙고등학교,1학년
공통수학2,군산중앙고등학교,1학년
공통영어1,군산중앙고등학교,1학년
공통영어2,군산중앙고등학교,1학년
체육1,군산중앙고등학교,1학년
체육2,군산중앙고등학교,1학년
음악,군산중앙고등학교,1학년
음악 감상과 비평,군산중앙고등학교,1학년
한국사1,군산중앙고등학교,1학년
한국사2,군산중앙고등학교,1학년
통합사회1,군산중앙고등학교,1학년
통합사회2,군산중앙고등학교,1학년
통합과학1,군산중앙고등학교,1학년
통합과학2,군산중앙고등학교,1학년
과학탐구실험1,군산중앙고등학교,1학년
과학탐구실험2,군산중앙고등학교,1학년
공통국어1,김제고등학교,1학년
공통국어2,김제고등학교,1학년
공통수학1,김제고등학교,1학년
공통수학2,김제고등학교,1학년
공통영어1,김제고등학교,1학년
공통영어2,김제고등학교,1학년
체육1,김제고등학교,1학년
체육2,김제고등학교,1학년
음악,김제고등학교,1학년
미술,김제고등학교,1학년
한국사1,김제고등학교,1학년
한국사2,김제고등학교,1학년
통합사회1,김제고등학교,1학년
통합사회2,김제고등학교,1학년
통합과학1,김제고등학교,1학년
통합과학2,김제고등학교,1학년
과학탐구실험1,김제고등학교,1학년
과학탐구실험2,김제고등학교,1학년
공통국어1,김제서고등학교,1학년
공통국어2,김제서고등학교,1학년
공통수학1,김제서고등학교,1학년
공통수학2,김제서고등학교,1학년
공통영어1,김제서고등학교,1학년
공통영어2,김제서고등학교,1학년
체육1,김제서고등학교,1학년
체육2,김제서고등학교,1학년
음악,김제서고등학교,1학년
음악 연주와 창작,김제서고등학교,1학년
한국사1,김제서고등학교,1학년
한국사2,김제서고등학교,1학년
통합사회1,김제서고등학교,1학년
통합사회2,김제서고등학교,1학년
통합과학1,김제서고등학교,1학년
통합과학2,김제서고등학교,1학년
과학탐구실험1,김제서고등학교,1학년
과학탐구실험2,김제서고등학교,1학년
공통국어1,김제여고등학교,1학년
공통국어2,김제여고등학교,1학년
공통수학1,김제여고등학교,1학년
공통수학2,김제여고등학교,1학년
공통영어1,김제여고등학교,1학년
공통영어2,김제여고등학교,1학년
체육1,김제여고등학교,1학년
체육2,김제여고등학교,1학년
한국사1,김제여고등학교,1학년
한국사2,김제여고등학교,1학년
통합사회1,김제여고등학교,1학년
통합사회2,김제여고등학교,1학년
통합과학1,김제여고등학교,1학년
통합과학2,김제여고등학교,1학년
과학탐구실험1,김제여고등학교,1학년
과학탐구실험2,김제여고등학교,1학년
음악,김제여고등학교,1학년
미술,김제여고등학교,1학년
음악,김제여고등학교,1학년
미술,김제여고등학교,1학년
공통국어1,남원고등학교,1학년
공통국어2,남원고등학교,1학년
공통수학1,남원고등학교,1학년
공통수학2,남원고등학교,1학년
공통영어1,남원고등학교,1학년
공통영어2,남원고등학교,1학년
스포츠 문화,남원고등학교,1학년
스포츠 과학,남원고등학교,1학년
한국사1,남원고등학교,1학년
한국사2,남원고등학교,1학년
통합사회1,남원고등학교,1학년
통합사회2,남원고등학교,1학년
통합과학1,남원고등학교,1학년
