학교명,과목명,교원수
군산중앙고등학교,일본어Ⅰ,1
군산중앙고등학교,지식 재산 일반,1
군산중앙고등학교,진로와 직업,1
군산중앙고등학교,음악,2
군산중앙고등학교,스포츠 생활,1
군산중앙고등학교,운동과 건강,1
군산중앙고등학교,체육,2
군산중앙고등학교,지구과학Ⅱ,1
군산중앙고등학교,생명과학Ⅱ,1
군산중앙고등학교,화학Ⅱ,1
군산중앙고등학교,생명과학Ⅰ,1
군산중앙고등학교,통합과학,3
군산중앙고등학교,세계지리,1
군산중앙고등학교,통합사회,4
군산중앙고등학교,한국사,2
군산중앙고등학교,진로 영어,1
군산중앙고등학교,영어 독해와 작문,1
군산중앙고등학교,영어Ⅰ,2
군산중앙고등학교,영어 회화,1
군산중앙고등학교,영어,2
군산중앙고등학교,확률과 통계,1
군산중앙고등학교,미적분,2
군산중앙고등학교,수학Ⅰ,3
군산중앙고등학교,수학,2
군산중앙고등학교,문학,2
군산중앙고등학교,언어와 매체,1
군산중앙고등학교,화법과 작문,1
군산중앙고등학교,국어,2
군산중앙고등학교,심리학,1
군산중앙고등학교,보건,1
군산중앙고등학교,환경,1
군산중앙고등학교,정보,1
군산중앙고등학교,음악 감상과 비평,1
군산중앙고등학교,미술,2
동국대학교사범대학부속금산고등학교,체육,1
동국대학교사범대학부속금산고등학교,생명과학Ⅰ,1
동국대학교사범대학부속금산고등학교,화학Ⅰ,1
동국대학교사범대학부속금산고등학교,생활과 윤리,1
동국대학교사범대학부속금산고등학교,일본어Ⅰ,1
동국대학교사범대학부속금산고등학교,수학,1
동국대학교사범대학부속금산고등학교,문학,1
동국대학교사범대학부속금산고등학교,독서,1
동국대학교사범대학부속금산고등학교,영어,1
김제고등학교,통합과학,1
김제고등학교,생명과학Ⅰ,1
김제고등학교,음악,1
김제고등학교,미술,1
김제고등학교,한문,1
김제고등학교,보건,1
김제고등학교,통합사회,1
김제고등학교,한국사,1
김제고등학교,영어 회화,1
김제고등학교,영어,1
김제고등학교,수학Ⅰ,1
김제고등학교,수학,1
김제고등학교,문학,1
김제고등학교,화법과 작문,1
김제고등학교,국어,1
김제고등학교,운동과 건강,1
김제서고등학교,진로와 직업,1
김제서고등학교,한문Ⅰ,1
김제서고등학교,국어,1
김제서고등학교,수학,1
김제서고등학교,음악,1
김제서고등학교,한국사,1
김제서고등학교,통합과학,1
김제서고등학교,체육,1
김제서고등학교,영어,1
김제여자고등학교,스포츠 생활,1
김제여자고등학교,체육,1
김제여자고등학교,지구과학Ⅰ,1
김제여자고등학교,화학Ⅰ,1
김제여자고등학교,과학탐구실험,1
김제여자고등학교,통합과학,1
김제여자고등학교,한국 사회의 이해,1
김제여자고등학교,생활과 윤리,1
김제여자고등학교,사회·문화,1
김제여자고등학교,통합사회,1
김제여자고등학교,한국사,1
김제여자고등학교,영어Ⅰ,1
김제여자고등학교,영어,1
김제여자고등학교,심화 수학Ⅰ,1
김제여자고등학교,수학과제 탐구,1
김제여자고등학교,확률과 통계,1
김제여자고등학교,수학Ⅰ,1
김제여자고등학교,수학,1
김제여자고등학교,고전 읽기,1
김제여자고등학교,문학,2
김제여자고등학교,화법과 작문,1
김제여자고등학교,음악,1
김제여자고등학교,미술,2
김제여자고등학교,기술·가정,1
김제여자고등학교,진로와 직업,1
김제여자고등학교,일본어Ⅰ,1
김제여자고등학교,한문Ⅰ,1
김제여자고등학교,간호의 기초,1
김제여자고등학교,기타특수,2
김제여자고등학교,국어,1
김제여자고등학교,영어 독해와 작문,2
김제농생명마이스터고등학교,시설원예,1
김제농생명마이스터고등학교,건강 기능 식품 가공,1
김제농생명마이스터고등학교,화학 분석,1
김제농생명마이스터고등학교,실용 영어,1
김제농생명마이스터고등학교,영어,1
김제농생명마이스터고등학교,수학,1
김제농생명마이스터고등학교,국어,1
김제농생명마이스터고등학교,HMR편의식품가공,1
김제농생명마이스터고등학교,제형제제기술,1
김제농생명마이스터고등학교,바이오제약,1
김제농생명마이스터고등학교,식품위해인자제어실습,1
김제농생명마이스터고등학교,식품 품질 관리,1
김제농생명마이스터고등학교,식품 분석,1
김제농생명마이스터고등학교,식품 가공 기술,2
김제농생명마이스터고등학교,전기·전자 기초,1
김제농생명마이스터고등학교,화학 분석,1
김제농생명마이스터고등학교,농업용 기계 설치·정비,1
김제농생명마이스터고등학교,기타특수,2
김제농생명마이스터고등학교,일본어Ⅰ,1
김제농생명마이스터고등학교,정보,1
김제농생명마이스터고등학교,음악,1
김제농생명마이스터고등학교,체육,1
김제농생명마이스터고등학교,통합과학,2
김제농생명마이스터고등학교,통합사회,1
김제농생명마이스터고등학교,한국사,1
김제농생명마이스터고등학교,피복 아크 용접,1
김제농생명마이스터고등학교,임업 종묘,1
김제농생명마이스터고등학교,채소 재배,3
김제농생명마이스터고등학교,종자 생산,3
김제농생명마이스터고등학교,농업 기계 운전·작업,1
김제농생명마이스터고등학교,농업 기계,2
김제농생명마이스터고등학교,생명 공학 기술,1
김제농생명마이스터고등학교,농업용 기계 설치·정비,2
김제농생명마이스터고등학교,성공적인 직업생활,1
남원고등학교,지구과학Ⅰ,1
남원고등학교,물리학Ⅰ,1
남원고등학교,통합과학,2
남원고등학교,생활과 윤리,1
남원고등학교,사회·문화,1
남원고등학교,동아시아사,1
남원고등학교,세계지리,1
남원고등학교,통합사회,1
남원고등학교,한국사,1
남원고등학교,영어권 문화,2
남원고등학교,영어Ⅰ,2
남원고등학교,영어,1
남원고등학교,기하,1
남원고등학교,확률과 통계,1
남원고등학교,미적분,1
남원고등학교,수학Ⅰ,1
남원고등학교,수학,2
남원고등학교,심화 국어,1
남원고등학교,문학,2
남원고등학교,독서,1
남원고등학교,국어,2
남원고등학교,기타특수,1
남원고등학교,음악,1
남원고등학교,운동과 건강,1
남원고등학교,체육,2
남원고등학교,화학Ⅱ,1
남원고등학교,한문Ⅰ,1
남원고등학교,일본어Ⅰ,1
남원고등학교,진로와 직업,1
남원고등학교,기술·가정,1
남원고등학교,미술,1
남원용성고등학교,지적,1
남원용성고등학교,측량,2
남원용성고등학교,농업 기초 기술,1
남원용성고등학교,채소 재배,1
남원용성고등학교,3D 프린터용 제품 제작,1
남원용성고등학교,내선 공사,2
남원용성고등학교,전기 기기,1
