학교명,과목명,교원수(계)
전북대학교사범대학부설고등학교,체육,1
전북대학교사범대학부설고등학교,지구과학Ⅱ,1
전북대학교사범대학부설고등학교,생명과학Ⅱ,1
전북대학교사범대학부설고등학교,화학Ⅱ,1
전북대학교사범대학부설고등학교,물리학Ⅱ,1
전북대학교사범대학부설고등학교,지구과학Ⅰ,1
전북대학교사범대학부설고등학교,생명과학Ⅰ,1
전북대학교사범대학부설고등학교,화학Ⅰ,1
전북대학교사범대학부설고등학교,물리학Ⅰ,1
전북대학교사범대학부설고등학교,윤리와 사상,1
전북대학교사범대학부설고등학교,사회·문화,1
전북대학교사범대학부설고등학교,세계사,1
전북대학교사범대학부설고등학교,기타특수,1
전북대학교사범대학부설고등학교,중국어Ⅰ,1
전북대학교사범대학부설고등학교,일본어Ⅰ,1
전북대학교사범대학부설고등학교,독일어Ⅰ,1
전북대학교사범대학부설고등학교,정보,1
전북대학교사범대학부설고등학교,미술,1
전북대학교사범대학부설고등학교,음악,2
전북대학교사범대학부설고등학교,통합사회,3
전북대학교사범대학부설고등학교,한국사,2
전북대학교사범대학부설고등학교,진로 영어,1
전북대학교사범대학부설고등학교,영어Ⅱ,3
전북대학교사범대학부설고등학교,영어Ⅰ,2
전북대학교사범대학부설고등학교,영어,3
전북대학교사범대학부설고등학교,경제 수학,1
전북대학교사범대학부설고등학교,기하,2
전북대학교사범대학부설고등학교,실용 수학,2
전북대학교사범대학부설고등학교,수학Ⅰ,3
전북대학교사범대학부설고등학교,수학,2
전북대학교사범대학부설고등학교,심화 국어,1
전북대학교사범대학부설고등학교,문학,3
전북대학교사범대학부설고등학교,독서,3
전북대학교사범대학부설고등학교,국어,2
전북대학교사범대학부설고등학교,한국지리,1
전북대학교사범대학부설고등학교,스포츠 생활,1
전북대학교사범대학부설고등학교,운동과 건강,1
전북기계공업고등학교,메카트로닉스기초,1
전북기계공업고등학교,로봇기구개발,1
전북기계공업고등학교,로봇기초,1
전북기계공업고등학교,가전기기 하드웨어 개발,2
전북기계공업고등학교,로봇 소프트웨어 개발,1
전북기계공업고등학교,내선 공사,2
