학교명,과목명,공식교과군
군산중앙고등학교,과학의 역사와 문화,과학과
군산중앙고등학교,과학탐구실험1,과학과
군산중앙고등학교,과학탐구실험2,과학과
군산중앙고등학교,기후변화와 환경생태,과학과
군산중앙고등학교,물리학,과학과
군산중앙고등학교,물질과 에너지,과학과
군산중앙고등학교,생명과학,과학과
군산중앙고등학교,생물의 유전,과학과
군산중앙고등학교,세포와 물질대사,과학과
군산중앙고등학교,역학과 에너지,과학과
군산중앙고등학교,융합과학 탐구,과학과
군산중앙고등학교,전자기와 양자,과학과
군산중앙고등학교,지구과학,과학과
군산중앙고등학교,지구시스템과학,과학과
군산중앙고등학교,통합과학1,과학과
군산중앙고등학교,통합과학2,과학과
군산중앙고등학교,행성우주과학,과학과
군산중앙고등학교,화학,과학과
군산중앙고등학교,화학 반응의 세계,과학과
군산중앙고등학교,교육의 이해,교양과
군산중앙고등학교,논술,교양과
군산중앙고등학교,생태와 환경,교양과
군산중앙고등학교,인간과 경제활동,교양과
군산중앙고등학교,인간과 심리,교양과
군산중앙고등학교,진로와 직업,교양과
군산중앙고등학교,공통국어1,국어과
군산중앙고등학교,공통국어2,국어과
군산중앙고등학교,독서 토론과 글쓰기,국어과
군산중앙고등학교,독서와 작문,국어과
군산중앙고등학교,매체 의사소통,국어과
군산중앙고등학교,문학,국어과
군산중앙고등학교,문학과 영상,국어과
군산중앙고등학교,언어생활 탐구,국어과
군산중앙고등학교,주제 탐구 독서,국어과
군산중앙고등학교,화법과 언어,국어과
군산중앙고등학교,윤리문제 탐구,도덕과
군산중앙고등학교,윤리와 사상,도덕과
군산중앙고등학교,인문학과 윤리,도덕과
군산중앙고등학교,현대사회와 윤리,도덕과
군산중앙고등학교,보건,보건·복지(전공 일반)
군산중앙고등학교,경제,사회과
군산중앙고등학교,국제 관계의 이해,사회과
군산중앙고등학교,금융과 경제생활,사회과
군산중앙고등학교,기후변화와 지속가능한 세계,사회과
군산중앙고등학교,도시의 미래 탐구,사회과
군산중앙고등학교,동아시아 역사 기행,사회과
군산중앙고등학교,법과 사회,사회과
군산중앙고등학교,사회문제 탐구,사회과
군산중앙고등학교,사회와 문화,사회과
군산중앙고등학교,세계사,사회과
군산중앙고등학교,세계시민과 지리,사회과
군산중앙고등학교,여행지리,사회과
군산중앙고등학교,역사로 탐구하는 현대 세계,사회과
군산중앙고등학교,정치,사회과
군산중앙고등학교,통합사회1,사회과
군산중앙고등학교,통합사회2,사회과
군산중앙고등학교,한국사1,사회과
군산중앙고등학교,한국사2,사회과
군산중앙고등학교,한국지리 탐구,사회과
군산중앙고등학교,경제 수학,수학과
군산중앙고등학교,공통수학1,수학과
군산중앙고등학교,공통수학2,수학과
군산중앙고등학교,기하,수학과
군산중앙고등학교,대수,수학과
군산중앙고등학교,미적분Ⅰ,수학과
군산중앙고등학교,미적분Ⅱ,수학과
군산중앙고등학교,수학과제 탐구,수학과
군산중앙고등학교,인공지능 수학,수학과
군산중앙고등학교,확률과 통계,수학과
군산중앙고등학교,공통영어1,영어과
군산중앙고등학교,공통영어2,영어과
군산중앙고등학교,미디어 영어,영어과
군산중앙고등학교,세계 문화와 영어,영어과
군산중앙고등학교,실생활 영어 회화,영어과
군산중앙고등학교,심화 영어,영어과
군산중앙고등학교,심화 영어 독해와 작문,영어과
군산중앙고등학교,영미 문학 읽기,영어과
군산중앙고등학교,영어 독해와 작문,영어과
군산중앙고등학교,영어 발표와 토론,영어과
군산중앙고등학교,영어Ⅰ,영어과
군산중앙고등학교,영어Ⅱ,영어과
군산중앙고등학교,미술,예술과
군산중앙고등학교,미술 창작,예술과
군산중앙고등학교,음악,예술과
군산중앙고등학교,음악 감상과 비평,예술과
군산중앙고등학교,음악 연주와 창작,예술과
군산중앙고등학교,인공지능 기초,정보과
군산중앙고등학교,정보,정보과
군산중앙고등학교,일본 문화,제2외국어과
군산중앙고등학교,일본어,제2외국어과
군산중앙고등학교,일본어 회화,제2외국어과
군산중앙고등학교,중국 문화,제2외국어과
군산중앙고등학교,중국어,제2외국어과
군산중앙고등학교,중국어 회화,제2외국어과
군산중앙고등학교,스포츠 과학,체육과
군산중앙고등학교,스포츠 문화,체육과
군산중앙고등학교,스포츠 생활1,체육과
군산중앙고등학교,운동과 건강,체육과
군산중앙고등학교,체육1,체육과
군산중앙고등학교,체육2,체육과
군산중앙고등학교,환경 기술,환경·안전·소방(전공 일반)
글로벌학산고등학교,통합과학1,과학과
글로벌학산고등학교,통합과학2,과학과
글로벌학산고등학교,공통국어1,국어과
글로벌학산고등학교,공통국어2,국어과
글로벌학산고등학교,직무 의사소통,국어과
글로벌학산고등학교,화법과 언어,국어과
글로벌학산고등학교,컴퓨터그래픽,문화·예술·디자인·방송(전공 일반)
글로벌학산고등학교,통합사회1,사회과
글로벌학산고등학교,통합사회2,사회과
글로벌학산고등학교,한국사1,사회과
글로벌학산고등학교,한국사2,사회과
글로벌학산고등학교,공통수학1,수학과
글로벌학산고등학교,공통수학2,수학과
글로벌학산고등학교,대수,수학과
글로벌학산고등학교,직무 수학,수학과
글로벌학산고등학교,공통영어1,영어과
글로벌학산고등학교,공통영어2,영어과
글로벌학산고등학교,실생활 영어 회화,영어과
글로벌학산고등학교,영어Ⅰ,영어과
글로벌학산고등학교,직무 영어,영어과
글로벌학산고등학교,미술 창작,예술과
글로벌학산고등학교,미술사,예술과
글로벌학산고등학교,음악,예술과
글로벌학산고등학교,음악 감상과 비평,예술과
글로벌학산고등학교,일러스트레이션,예술과
글로벌학산고등학교,인공지능 기초,정보과
글로벌학산고등학교,정보,정보과
글로벌학산고등학교,중국어,제2외국어과
글로벌학산고등학교,스포츠 과학,체육과
글로벌학산고등학교,스포츠 문화,체육과
글로벌학산고등학교,스포츠 생활2,체육과
글로벌학산고등학교,운동과 건강,체육과
글로벌학산고등학교,체육1,체육과
글로벌학산고등학교,체육2,체육과
김제고등학교,과학의 역사와 문화,과학과
김제고등학교,과학탐구실험1,과학과
김제고등학교,과학탐구실험2,과학과
김제고등학교,기후변화와 환경생태,과학과
김제고등학교,물리학,과학과
김제고등학교,물질과 에너지,과학과
김제고등학교,생명과학,과학과
김제고등학교,생물의 유전,과학과
김제고등학교,세포와 물질대사,과학과
김제고등학교,역학과 에너지,과학과
김제고등학교,융합과학 탐구,과학과
김제고등학교,전자기와 양자,과학과
김제고등학교,지구과학,과학과
김제고등학교,지구시스템과학,과학과
김제고등학교,통합과학1,과학과
김제고등학교,통합과학2,과학과
김제고등학교,행성우주과학,과학과
김제고등학교,화학,과학과
김제고등학교,화학 반응의 세계,과학과
김제고등학교,교육의 이해,교양과
김제고등학교,생태와 환경,교양과
김제고등학교,인간과 심리,교양과
김제고등학교,공통국어1,국어과
김제고등학교,공통국어2,국어과
김제고등학교,독서와 작문,국어과
김제고등학교,문학,국어과
김제고등학교,문학과 영상,국어과
김제고등학교,주제 탐구 독서,국어과
김제고등학교,화법과 언어,국어과
김제고등학교,기술·가정,기술·가정과
김제고등학교,윤리문제 탐구,도덕과
김제고등학교,윤리와 사상,도덕과
김제고등학교,보건,보건·복지(전공 일반)
김제고등학교,금융과 경제생활,사회과
김제고등학교,기후변화와 지속가능한 세계,사회과
김제고등학교,동아시아 역사 기행,사회과
김제고등학교,법과 사회,사회과
김제고등학교,사회와 문화,사회과
김제고등학교,세계사,사회과
김제고등학교,세계시민과 지리,사회과
김제고등학교,여행지리,사회과
김제고등학교,정치,사회과
김제고등학교,통합사회1,사회과
김제고등학교,통합사회2,사회과
김제고등학교,한국사1,사회과
김제고등학교,한국사2,사회과
김제고등학교,한국지리 탐구,사회과
김제고등학교,경제 수학,수학과
김제고등학교,공통수학1,수학과
김제고등학교,공통수학2,수학과
김제고등학교,기하,수학과
김제고등학교,대수,수학과
김제고등학교,미적분Ⅰ,수학과
김제고등학교,미적분Ⅱ,수학과
김제고등학교,실용 통계,수학과
김제고등학교,인공지능 수학,수학과
김제고등학교,확률과 통계,수학과
김제고등학교,공통영어1,영어과
김제고등학교,공통영어2,영어과
김제고등학교,심화 영어,영어과
김제고등학교,심화 영어 독해와 작문,영어과
김제고등학교,영미 문학 읽기,영어과
김제고등학교,영어 독해와 작문,영어과
김제고등학교,영어Ⅰ,영어과
김제고등학교,영어Ⅱ,영어과
김제고등학교,미술,예술과
김제고등학교,미술 감상과 비평,예술과
김제고등학교,음악,예술과
김제고등학교,음악 감상과 비평,예술과
김제고등학교,정보,정보과
김제고등학교,일본어,제2외국어과
김제고등학교,일본어 회화,제2외국어과
김제고등학교,중국어,제2외국어과
김제고등학교,중국어 회화,제2외국어과
김제고등학교,스포츠 과학,체육과
김제고등학교,스포츠 문화,체육과
김제고등학교,스포츠 생활1,체육과
김제고등학교,운동과 건강,체육과
김제고등학교,체육1,체육과
김제고등학교,체육2,체육과
김제고등학교,언어생활과 한자,한문과
김제고등학교,한문,한문과
김제농생명마이스터고등학교,통합과학1,과학과
김제농생명마이스터고등학교,통합과학2,과학과
김제농생명마이스터고등학교,공통국어1,국어과
김제농생명마이스터고등학교,공통국어2,국어과
김제농생명마이스터고등학교,통합사회1,사회과
김제농생명마이스터고등학교,통합사회2,사회과
김제농생명마이스터고등학교,한국사1,사회과
김제농생명마이스터고등학교,한국사2,사회과
김제농생명마이스터고등학교,공통수학1,수학과
김제농생명마이스터고등학교,공통수학2,수학과
김제농생명마이스터고등학교,공통영어1,영어과
김제농생명마이스터고등학교,공통영어2,영어과
김제농생명마이스터고등학교,실생활 영어 회화,영어과
김제농생명마이스터고등학교,직무영어,영어과
