과목,과목유형,1학년,2학년,3학년,학교명
공통국어1,공통 과목,1,0,0,만경고
공통국어2,공통 과목,1,0,0,만경고
독서와 작문,일반 선택,0,1,0,만경고
문학,일반 선택,0,1,0,만경고
공통수학1,공통 과목,1,0,0,만경고
공통수학2,공통 과목,1,0,0,만경고
대수,일반 선택,0,1,0,만경고
미적분Ⅰ,일반 선택,0,1,0,만경고
공통영어1,공통 과목,1,0,0,만경고
공통영어2,공통 과목,1,0,0,만경고
영어Ⅰ,일반 선택,0,1,0,만경고
영어Ⅱ,일반 선택,0,1,0,만경고
체육1,일반 선택,1,0,0,만경고
체육2,일반 선택,1,0,0,만경고
스포츠 문화,진로 선택,0,0,1,만경고
스포츠 과학,진로 선택,0,0,1,만경고
스포츠 생활1,융합 선택,0,1,0,만경고
스포츠 생활2,융합 선택,0,1,0,만경고
정보,일반 선택,1,0,0,만경고
중국어,일반 선택,1,0,0,만경고
한국사1,공통 과목,1,0,0,만경고
한국사2,공통 과목,1,0,0,만경고
통합사회1,공통 과목,1,0,0,만경고
통합사회2,공통 과목,1,0,0,만경고
통합과학1,공통 과목,1,0,0,만경고
통합과학2,공통 과목,1,0,0,만경고
과학탐구실험1,공통 과목,1,0,0,만경고
과학탐구실험2,공통 과목,1,0,0,만경고
세계사,일반 선택,0,1,0,만경고
사회와 문화,일반 선택,0,1,0,만경고
현대사회와 윤리,일반 선택,0,1,0,만경고
지구과학,일반 선택,0,1,0,만경고
음악,일반 선택,0,1,0,만경고
미술,일반 선택,0,1,0,만경고
인공지능 기초,진로 선택,0,1,0,만경고
중국어 회화,진로 선택,0,1,0,만경고
진로와 직업,일반 선택,0,1,0,만경고
보건,진로 선택,0,1,0,만경고
세계사,일반 선택,0,1,0,만경고
사회와 문화,일반 선택,0,1,0,만경고
현대사회와 윤리,일반 선택,0,1,0,만경고
생명과학,일반 선택,0,1,0,만경고
음악,일반 선택,0,1,0,만경고
미술,일반 선택,0,1,0,만경고
인공지능 기초,진로 선택,0,1,0,만경고
중국어 회화,진로 선택,0,1,0,만경고
진로와 직업,일반 선택,0,1,0,만경고
보건,진로 선택,0,1,0,만경고
화법과 언어,일반 선택,0,0,1,만경고
문학과 영상,진로 선택,0,0,1,만경고
확률과 통계,일반 선택,0,0,1,만경고
기하,진로 선택,0,0,1,만경고
영어 독해와 작문,일반 선택,0,0,1,만경고
심화 영어,진로 선택,0,0,1,만경고
언어생활 탐구,융합 선택,0,0,1,만경고
미적분Ⅱ,진로 선택,0,0,1,만경고
실생활 영어 회화,융합 선택,0,0,1,만경고
중국 문화,융합 선택,0,0,1,만경고
동아시아 역사 기행,진로 선택,0,0,1,만경고
법과 사회,진로 선택,0,0,1,만경고
윤리와 사상,진로 선택,0,0,1,만경고
세포와 물질대사,진로 선택,0,0,1,만경고
운동과 건강,진로 선택,0,0,1,만경고
음악 감상과 비평,진로 선택,0,0,1,만경고
소프트웨어와 생활,융합 선택,0,0,1,만경고
심화 중국어,진로 선택,0,0,1,만경고
주제 탐구 독서,진로 선택,0,0,1,만경고
직무 의사소통,진로 선택,0,0,1,만경고
경제 수학,진로 선택,0,0,1,만경고
인공지능 수학,진로 선택,0,0,1,만경고
영미 문학 읽기,진로 선택,0,0,1,만경고
직무 영어,진로 선택,0,0,1,만경고
언어생활 탐구,융합 선택,0,0,1,만경고
수학과 문화,융합 선택,0,0,1,만경고
실생활 영어 회화,융합 선택,0,0,1,만경고
데이터 과학,진로 선택,0,0,1,만경고
인문학과 윤리,진로 선택,0,0,1,만경고
역사로 탐구하는 현대 세계,융합 선택,0,0,1,만경고
사회문제 탐구,융합 선택,0,0,1,만경고
지구시스템과학,진로 선택,0,0,1,만경고
운동과 건강,진로 선택,0,0,1,만경고
음악 연주와 창작,진로 선택,0,0,1,만경고
소프트웨어와 생활,융합 선택,0,0,1,만경고
심화 중국어,진로 선택,0,0,1,만경고
공통국어1,공통 과목,1,0,0,만경여고
공통국어2,공통 과목,1,0,0,만경여고
화법과 언어,일반 선택,0,1,0,만경여고
독서와 작문,일반 선택,0,1,0,만경여고
문학,일반 선택,0,0,1,만경여고
직무 의사소통,진로 선택,0,0,1,만경여고
공통수학1,공통 과목,1,0,0,만경여고
공통수학2,공통 과목,1,0,0,만경여고
대수,일반 선택,0,1,0,만경여고
미적분Ⅰ,일반 선택,0,0,1,만경여고
확률과 통계,일반 선택,0,1,0,만경여고
수학과제 탐구,융합 선택,0,0,1,만경여고
공통영어1,공통 과목,1,0,0,만경여고
공통영어2,공통 과목,1,0,0,만경여고
영어Ⅰ,일반 선택,0,1,0,만경여고
영어Ⅱ,일반 선택,0,1,0,만경여고
영어 독해와 작문,일반 선택,0,0,1,만경여고
실생활 영어 회화,융합 선택,0,0,1,만경여고
체육1,일반 선택,1,0,0,만경여고
체육2,일반 선택,1,0,0,만경여고
스포츠 문화,진로 선택,0,0,1,만경여고
스포츠 과학,진로 선택,0,0,1,만경여고
스포츠 생활1,융합 선택,0,1,0,만경여고
스포츠 생활2,융합 선택,0,1,0,만경여고
음악,일반 선택,1,0,0,만경여고
미술,일반 선택,1,0,0,만경여고
음악 연주와 창작,진로 선택,0,1,0,만경여고
음악 감상과 비평,진로 선택,0,0,1,만경여고
미술 감상과 비평,진로 선택,1,0,0,만경여고
음악과 미디어,융합 선택,0,0,1,만경여고
한국사1,공통 과목,1,0,0,만경여고
한국사2,공통 과목,1,0,0,만경여고
통합사회1,공통 과목,1,0,0,만경여고
통합사회2,공통 과목,1,0,0,만경여고
사회와 문화,일반 선택,0,1,0,만경여고
동아시아 역사 기행,진로 선택,0,1,0,만경여고
정치,진로 선택,0,0,1,만경여고
법과 사회,진로 선택,0,1,0,만경여고
경제,진로 선택,0,0,1,만경여고
진로와 직업,일반 선택,0,0,1,만경여고
보건,진로 선택,1,0,0,만경여고
논술,융합 선택,0,0,1,만경여고
통합과학1,공통 과목,1,0,0,만경여고
통합과학2,공통 과목,1,0,0,만경여고
과학탐구실험1,공통 과목,1,0,0,만경여고
과학탐구실험2,공통 과목,1,0,0,만경여고
과학의 역사와 문화,융합 선택,0,0,1,만경여고
융합과학 탐구,융합 선택,0,0,1,만경여고
인체 구조와 기능,전공 일반,0,0,1,만경여고
기술·가정,일반 선택,0,1,0,만경여고
정보,일반 선택,0,1,0,만경여고
인공지능 기초,진로 선택,0,1,0,만경여고
인체 구조와 기능,전공 일반,0,1,0,만경여고
간호의 기초,전공 일반,0,1,0,만경여고
기업과 경영,전공 일반,0,1,0,만경여고
세계시민과 지리,일반 선택,0,1,0,만경여고
세계사,일반 선택,0,1,0,만경여고
여행지리,융합 선택,0,1,0,만경여고
물리학,일반 선택,0,1,0,만경여고
생명과학,일반 선택,0,1,0,만경여고
생물의 유전,진로 선택,0,1,0,만경여고
윤리와 사상,진로 선택,0,0,1,만경여고
인문학과 윤리,진로 선택,0,0,1,만경여고
윤리문제 탐구,융합 선택,0,0,1,만경여고
